Gene_Symbol;Classification
ACRBP;testis-selective
ACTL8;testis-selective
ADAM2;testis-selective
ADAM29;testis-selective
AKAP3;testis-selective
AKAP4;not available
ANKRD45;not available
ARMC3;testis-selective
ARX;not available
ATAD2;not available
BAGE;testis-selective
BAGE2;testis-selective
BAGE3;testis-selective
BAGE4;testis-selective
BAGE5;testis-selective
BRDT;testis-selective
C15orf60;not available
C21orf99;testis-selective
CABYR;testis-selective
CAGE1;not available
CALR3;not available
CASC5;testis-selective
CCDC110;testis-selective
CCDC33;testis-selective
CCDC36;testis-selective
CCDC62;not available
CCDC83;not available
CDCA1;not available
CEP290;testis-selective
CEP55;not available
COX6B2;testis-selective
CPXCR1;testis-restricted
CRISP2;testis-selective
CSAG1;not found in testis
CSAG2;testis-restricted
CSAG3B;not available
CT16.2;testis-restricted
CT45A1;not available
CT45A2;not available
CT45A3;not available
CT45A4;not available
CT45A5;not available
CT45A6;not available
CT47A1;not available
CT47A10;not available
CT47A11;not available
CT47A2;not available
CT47A3;not available
CT47A4;not available
CT47A5;not available
CT47A6;not available
CT47A7;not available
CT47A8;not available
CT47A9;not available
CT47B1;not available
CT66/AA884595;testis-selective
CT69/BC040308;testis-restricted
CT70/BI818097;testis-restricted
CTAG1A;testis-restricted
CTAG1B;testis-selective
CTAG2;testis-selective
CTAGE-2;not available
CTAGE1;testis/brain-restricted
CTAGE5;testis-selective
CTCFL;testis-selective
CTNNA2;testis/brain-restricted
CXorf48;testis-restricted
Cxorf61;testis-restricted
cyclin A1;not available
DCAF12;not available
DDX43;testis-selective
DDX53;testis-restricted
DKKL1;testis-restricted
DMRT1;not available
DNAJB8;not available
DPPA2;not available
DSCR8;testis-selective
EDAG, NDR;not available
ELOVL4;not available
FAM133A;testis/brain-restricted
FAM46D;not available
FATE1;testis-selective
FBXO39;not available
FMR1NB;testis-selective
FTHL17;testis-restricted
GAGE1;testis/brain-restricted
GAGE12B;not available
GAGE12C;not available
GAGE12D;not available
GAGE12E;not available
GAGE12F;not available
GAGE12G;not available
GAGE12H;not available
GAGE12I;not available
GAGE12J;not available
GAGE13;not available
GAGE2A;testis/brain-restricted
GAGE3;not available
GAGE4;testis/brain-restricted
GAGE5;testis/brain-restricted
GAGE6;testis-restricted
GAGE7;testis/brain-restricted
GAGE8;testis/brain-restricted
GOLGAGL2 FA;not available
GPAT2;not available
GPATCH2;not available
HIWI, MIWI, PIWI;not available
HORMAD1;testis/brain-restricted
HORMAD2;not available
HSPB9;testis-selective
IGSF11;not available
IL13RA2;not available
IMP-3;not available
JARID1B;testis-selective
KIAA0100;not available
LAGE-1b;not available
LDHC;testis-selective
LEMD1;testis-selective
LIPI;testis-selective
LOC130576;not available
LOC196993;not available
LOC348120;not available
LOC440934;not available
LOC647107;not available
LOC728137;not available
LUZP4;testis-selective
LY6K;not available
MAEL;not available
MAGEA1;testis-restricted
MAGEA10;testis-selective
MAGEA11;testis-selective
MAGEA12;testis-selective
MAGEA2;testis-restricted
MAGEA2B;testis-restricted
MAGEA3;testis-selective
MAGEA4;testis-selective
MAGEA5;testis-selective
MAGEA6;testis-selective
MAGEA8;testis-selective
