Suppl_Table_2
Gene		Gene_Name	Phi_Testis	Thymus_Expression	CTDatabase	CT_Expression
ENSG00000176746	MAGEB6		1.0		False			True		True
ENSG00000227059	ANHX		1.0		False			False		False
ENSG00000173769	TOPAZ1		1.0		False			False		False
ENSG00000198798	MAGEB3		1.0		False			True		False
ENSG00000206043	C18orf63	1.0		False			False		False
ENSG00000277535	RP13-347D8.7	1.0		False			False		False
ENSG00000102021	LUZP4		1.0		False			True		False
ENSG00000237452	BHMG1		1.0		False			False		False
ENSG00000249961	TERB1		0.99859		True			False		False
ENSG00000123576	ESX1		0.99859		False			False		True
ENSG00000283599	RP11-402P6.15	0.99859		False			False		True
ENSG00000197172	MAGEA6		0.99859		False			True		True
ENSG00000165584	SSX3		0.99859		False			True		True
ENSG00000166049	PASD1		0.99859		False			True		True
ENSG00000163530	DPPA2		0.99858		False			True		True
ENSG00000184735	DDX53		0.99858		False			True		False
ENSG00000175718	RBMXL3		0.99858		False			False		False
ENSG00000054796	SPO11		0.99858		False			True		False
ENSG00000182645	CCDC172		0.99718		False			False		False
ENSG00000176566	DCAF4L2		0.99718		False			False		True
ENSG00000198681	MAGEA1		0.99718		False			True		True
ENSG00000154438	ASZ1		0.99718		True			False		False
ENSG00000221867	MAGEA3		0.99718		False			True		True
ENSG00000120289	MAGEB4		0.99717		False			True		False
ENSG00000168757	TSPY2		0.99717		False			True		False
ENSG00000178021	TSPYL6		0.99578		False			False		True
ENSG00000214929	SPATA31D1	0.99578		False			False		False
ENSG00000124092	CTCFL		0.99578		True			True		False
ENSG00000244588	RAD21L1		0.99575		False			False		False
ENSG00000164256	PRDM9		0.99575		False			False		False
ENSG00000146047	HIST1H2BA	0.99575		False			False		False
ENSG00000268629	TEX13A		0.99575		False			False		False
ENSG00000189401	OTUD6A		0.99575		False			False		False
ENSG00000236446	CT47B1		0.99575		False			True		False
ENSG00000185056	C5orf47		0.99439		False			False		False
ENSG00000261649	GOLGA6L7P	0.99439		False			False		True
ENSG00000214107	MAGEB1		0.99439		False			True		True
ENSG00000187833	C2orf78		0.99439		False			False		False
ENSG00000178997	EXD1		0.99439		True			False		False
ENSG00000068985	PAGE1		0.99439		True			True		False
ENSG00000266826	CTD-2200P10.1	0.99439		False			False		False
ENSG00000177504	VCX2		0.99439		False			False		False
ENSG00000189037	DUSP21		0.99433		False			False		False
ENSG00000185888	PRSS38		0.99433		False			False		False
ENSG00000174225	ARL13A		0.99433		False			False		True
ENSG00000120210	INSL6		0.993		True			False		False
ENSG00000213401	MAGEA12		0.993		False			True		True
ENSG00000204025	TRPC5OS		0.993		False			False		True
ENSG00000189064	GAGE2A		0.993		False			True		True
ENSG00000198765	SYCP1		0.993		True			True		False
ENSG00000212710	CTAGE1		0.993		False			True		False
ENSG00000215910	C1orf167	0.99297		True			False		False
ENSG00000179213	SIGLECL1	0.99297		False			False		False
ENSG00000164508	HIST1H2AA	0.99292		False			False		False
ENSG00000189186	DCAF8L2		0.99162		False			False		False
ENSG00000218823	PAPOLB		0.99162		False			False		False
ENSG00000117148	ACTL8		0.99162		False			True		True
ENSG00000184507	NUTM1		0.99162		False			False		False
ENSG00000239620	RP11-88I21.1	0.99157		False			False		True
ENSG00000234068	PAGE2		0.99154		False			True		True
ENSG00000232113	RP11-360D2.1	0.99154		False			False		False
ENSG00000203933	CXorf66		0.99154		False			False		False
ENSG00000100565	LRRC74A		0.99151		False			False		False
ENSG00000189132	FAM47B		0.99149		False			False		False
ENSG00000153779	TGIF2LX		0.99148		False			False		True
ENSG00000204279	PAGE3		0.99148		False			True		False
ENSG00000165182	CXorf58		0.99148		False			False		False
ENSG00000137090	DMRT1		0.99024		True			True		False
ENSG00000177910	SPATA31C2	0.99024		False			False		True
ENSG00000233436	BTBD18		0.99024		True			False		False
ENSG00000176302	FOXR1		0.99024		False			False		True
ENSG00000151475	SLC25A31	0.99024		False			False		False
ENSG00000205359	SLCO6A1		0.99019		False			True		True
ENSG00000214842	RAD51AP2	0.99019		False			False		False
ENSG00000204363	SPANXN5		0.99015		False			True		False
ENSG00000187066	TMEM262		0.99011		False			False		False
ENSG00000189326	SPANXN4		0.99009		False			True		False
ENSG00000237136	C4orf51		0.99006		True			False		False
ENSG00000149646	CNBD2		0.99005		True			False		False
ENSG00000149507	OOSP2		0.98887		True			False		False
ENSG00000158639	PAGE5		0.98887		False			True		True
ENSG00000183304	FAM9A		0.98887		False			False		False
ENSG00000169059	VCX3A		0.98887		False			False		True
ENSG00000046774	MAGEC2		0.98887		False			True		True
ENSG00000183035	CYLC1		0.98881		False			False		False
ENSG00000164334	FAM170A		0.98881		False			False		False
ENSG00000187791	FAM205C		0.98876		True			False		False
ENSG00000275489	C17orf98	0.98872		False			False		False
ENSG00000188782	CATSPER4	0.98866		False			False		False
ENSG00000248767	WI2-2373I1.1	0.98864		True			False		False
ENSG00000229937	PRPS1L1		0.9875		False			False		False
ENSG00000238205	MPC1L		0.9875		False			False		False
ENSG00000151005	TKTL2		0.9875		False			False		False
ENSG00000155495	MAGEC1		0.9875		False			True		True
ENSG00000162592	CCDC27		0.98744		False			False		True
ENSG00000165059	PRKACG		0.98744		False			False		False
ENSG00000167098	SUN5		0.98744		False			False		False
ENSG00000182583	VCX		0.98744		False			False		True
ENSG00000187772	LIN28B		0.98733		False			False		True
ENSG00000196406	SPANXD		0.98725		False			True		True
ENSG00000231256	C17orf105	0.98725		False			False		False
ENSG00000162620	LRRIQ3		0.98725		True			False		False
ENSG00000131721	RHOXF2		0.98721		False			True		False
ENSG00000198028	ZNF560		0.98614		False			False		True
ENSG00000167014	TERB2		0.98607		True			False		False
ENSG00000166329	CCDC182		0.986		False			False		True
ENSG00000150676	CCDC83		0.9859		True			True		False
ENSG00000134249	ADAM30		0.9859		False			False		False
ENSG00000125815	CST8		0.98582		False			False		False
ENSG00000203795	FAM24A		0.98579		False			False		False
ENSG00000223510	CDRT15		0.98578		True			False		False
ENSG00000275793	RIMBP3		0.98577		False			False		True
ENSG00000128276	RFPL3		0.98577		True			False		False
ENSG00000213265	TSGA13		0.98577		False			False		False
ENSG00000077800	FKBP6		0.98479		True			False		False
ENSG00000183434	TFDP3		0.98479		False			True		True
ENSG00000174450	GOLGA6L2	0.98479		False			False		True
ENSG00000163645	ERICH6		0.98464		True			False		False
ENSG00000125975	C20orf173	0.98457		False			False		False
ENSG00000205108	FAM205A		0.98457		False			False		False
ENSG00000231989	PPP1R2P3	0.98451		False			False		False
ENSG00000198326	TMEM239		0.98446		True			False		False
ENSG00000249467	RP11-492O8.1	0.98446		False			False		False
ENSG00000187969	ZCCHC13		0.98446		False			False		False
ENSG00000141437	SLC25A52	0.98439		False			False		False
ENSG00000139656	SMIM2		0.98436		True			False		False
ENSG00000183318	SPDYE4		0.98436		True			False		False
ENSG00000178645	C10orf53	0.98434		True			False		False
ENSG00000204688	OR2H1		0.98434		False			False		False
ENSG00000244234	GMCL1P1		0.98433		False			False		False
ENSG00000170516	COX7B2		0.98344		False			False		True
ENSG00000164744	SUN3		0.98344		False			False		True
